NO,KATEGORI,NAMA ALAT,BRAND,KODE ALAT,TAHUN,SPESIFIKASI,KONDISI,KETERANGAN,SUMBER FILE
  ▌ ACCESS POINT,,,,,,,,,
207,Raspberry Pi,Raspberry Pi 04,,RBI/TI-04.24,2024,Adapter: RBR/PU-04.24 | HDMI: CHD/TI-04.24 | Kabel: PR/TI.04.24,Baik,Lengkap,Data_Raspberry_Perlengkapannya_4_.xlsx
208,Raspberry Pi,Raspberry Pi 05,,RBI/TI-05.24,2024,Adapter: - | HDMI: CHD/TI-05.24 | Kabel: PR/TI.05.24,Baik,Kabel adapter tidak ada,Data_Raspberry_Perlengkapannya_4_.xlsx
209,Raspberry Pi,Raspberry Pi 06,,-,-,Adapter: RBR/PU-06.24 | HDMI: CHD/TI-06.24 | Kabel: -,Baik,"Raspberry tidak ada, Kabel tidak ada",Data_Raspberry_Perlengkapannya_4_.xlsx
210,Raspberry Pi,Raspberry Pi 07,,-,-,Adapter: RBR/PU-07.24 | HDMI: CHD/TI-07.24 | Kabel: PR/TI.07.24,Baik,Raspberry tidak ada,Data_Raspberry_Perlengkapannya_4_.xlsx
211,Raspberry Pi,Raspberry Pi 08,,RBI/TI-08.24,2024,Adapter: RBR/PU-08.24 | HDMI: CHD/TI-08.24 | Kabel: -,Baik,Kabel tidak ada,Data_Raspberry_Perlengkapannya_4_.xlsx
212,Raspberry Pi,Raspberry Pi 09,,RBI/TI-09.24,2024,Adapter: RBR/PU-09.24 | HDMI: CHD/TI-09.24 | Kabel: PR/TI.09.24,Baik,Lengkap,Data_Raspberry_Perlengkapannya_4_.xlsx
213,Raspberry Pi,Raspberry Pi 10,,-,-,Adapter: - | HDMI: CHD/TI-10.24 | Kabel: PR/TI.10.24,Baik,Raspberry tidak ada,Data_Raspberry_Perlengkapannya_4_.xlsx
214,Raspberry Pi,Raspberry Pi 11,,RBI/TI-11.24,2024,Adapter: RBR/PU-11.24 | HDMI: - | Kabel: PR/TI.11.24,Baik,HDMI tidak ada,Data_Raspberry_Perlengkapannya_4_.xlsx
215,Raspberry Pi,Raspberry Pi 12,,-,-,Adapter: RBR/PU-12.24 | HDMI: - | Kabel: -,Baik,Raspberry tidak ada,Data_Raspberry_Perlengkapannya_4_.xlsx
216,Raspberry Pi,Raspberry Pi 13,,RBI/TI-13.24,2024,Adapter: - | HDMI: - | Kabel: -,Baik,"Kabel adapter, HDMI, Kabel tidak ada",Data_Raspberry_Perlengkapannya_4_.xlsx
  ▌ ROUTER,,,,,,,,,
217,Router,Router RB941,Mikrotik,M/TI-02.21,2021,,LENGKAP,,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
218,Router,Router RB941,Mikrotik,M/TI-03.21,2021,,LENGKAP,,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
219,Router,Router RB941,Mikrotik,M/TI-04.21,2021,,TIDAK ADA,,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
220,Router,Router RB941,Mikrotik,M/TI-0521,2021,,LENGKAP,,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
221,Router,Router RB941,Mikrotik,M/TI-06.21,2021,,LENGKAP,,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
222,Router,Router RB941,Mikrotik,M/TI-07.21,2021,,LENGKAP,,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
223,Router,Router RB941,Mikrotik,M/TI-08.21,2021,,LENGKAP,,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
224,Router,Router RB941,Mikrotik,M/TI-09.21,2021,,LENGKAP,,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
225,Router,Router RB941,Mikrotik,M/TI-10.21,2021,,LENGKAP,,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
226,Router,Router RB941,Mikrotik,M/TI-11.21,2021,,LENGKAP,,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
227,Router,Router RB941,Mikrotik,M/TI-12.21,2021,,LENGKAP,,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
228,Router,Router RB941,Mikrotik,M/TI-13.21,2021,,LENGKAP,,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
229,Router,Router RB941,Mikrotik,M/TI-15.21,2021,,LENGKAP,,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
230,Router,Router RB941,Mikrotik,M/TI-17.21,2021,,LENGKAP,,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
231,Router,Router RB941,Mikrotik,M/TI-18.21,2021,,LENGKAP,,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
232,Router,Router RB941,Mikrotik,M/TI-20.21,2021,,LENGKAP,,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
233,Router,Router RB750,Mikrotik,ROUTER A,,,LENGKAP,,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
234,Router,Router RB750,Mikrotik,ROUTER B,,,LENGKAP,,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
235,Router,Router RB750,Mikrotik,ROUTER C,,,LENGKAP,,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
236,Router,Router RB941,Mikrotik,M/TI-01.21,2021,,LENGKAP,,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
237,Router,Router RB941,Mikrotik,M/TI-19.21,2021,,TIDAK ADA,,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
238,Router,Router,Cisco,,2020,Cisco C891F,,,Data_Lab_SB_II__2026.xlsx
239,Router,Router,Cisco,C.TI-06,,Cisco 2511 XM,,,Data_Lab_SB_II__2026.xlsx
240,Router,Router,Mikrotik,M/TI-01.25,2025,HGW0A3ZSF2Z/R3,Baik,,Data_Lab_SB_II__2026.xlsx
241,Router,Router,Mikrotik,M/TI-05.25,2025,HGW0A40JSZ7/R3,Baik,,Data_Lab_SB_II__2026.xlsx
242,Router,Router,Mikrotik,M/TI-06.25,2025,HGW0A9B0E3R/R3,Baik,,Data_Lab_SB_II__2026.xlsx
243,Router,Router,Mikrotik,M/TI-07.25,2025,HGW0A5W6G4W/R3,Baik,,Data_Lab_SB_II__2026.xlsx
244,Router,Router,Mikrotik,M/TI-08.25,2025,HGW0A445QGP/R3,Baik,,Data_Lab_SB_II__2026.xlsx
245,Router,Router,Mikrotik,M/TI-09.25,2025,HGW0AF6X0ZW/R3,Baik,,Data_Lab_SB_II__2026.xlsx
246,Router,Router,Mikrotik,M/TI-10.25,2025,HGW0A3EC52H/R3,Baik,,Data_Lab_SB_II__2026.xlsx
247,Router,Router,Mikrotik,M/TI-11.25,2025,HGW0A5FZ460/R3,Baik,,Data_Lab_SB_II__2026.xlsx
248,Router,Router,Mikrotik,M/TI-12.25,2025,HGW0A5BGP3W/R3,Baik,,Data_Lab_SB_II__2026.xlsx
249,Router,Router,Mikrotik,M/TI-13.25,2025,HGW0A30A0JC/R3,Baik,,Data_Lab_SB_II__2026.xlsx
250,Router,Router,Mikrotik,M/TI-14.25,2025,HGW0ACGJXWB/R3,Baik,,Data_Lab_SB_II__2026.xlsx
251,Router,Router,Mikrotik,M/TI-15.25,2025,HGW0A1A56R7/R3,Baik,,Data_Lab_SB_II__2026.xlsx
252,Router,Router,Mikrotik,M/TI-02.21,2021,D0550BC86DD8/004/R3,,,Data_Lab_SB_II__2026.xlsx
253,Router,Router,Mikrotik,M/TI-03.21,2021,D0550B8A5FD0/004/R3,,,Data_Lab_SB_II__2026.xlsx
254,Router,Router,Mikrotik,M/TI-06.21,2021,D0550B69837*/004/R3,,,Data_Lab_SB_II__2026.xlsx
255,Router,Router,Mikrotik,M/TI-07.21,2021,D0550B051460/044/R3,,,Data_Lab_SB_II__2026.xlsx
256,Router,Router,Mikrotik,M/TI-08.21,2021,D0550B59C049/004/R3,,,Data_Lab_SB_II__2026.xlsx
257,Router,Router,Mikrotik,M/TI-09.21,2021,D0550B246F04/004/R4,,,Data_Lab_SB_II__2026.xlsx
258,Router,Router,Mikrotik,M/TI-10.21,2021,D0550BA63E2D/004/R3,,,Data_Lab_SB_II__2026.xlsx
259,Router,Router,Mikrotik,M/TI-11.21,2021,D0550B03FF38/004/R3,,,Data_Lab_SB_II__2026.xlsx
260,Router,Router,Mikrotik,M/TI-12.21,2021,D0550BED2D60/004/R3,,,Data_Lab_SB_II__2026.xlsx
261,Router,Router,Mikrotik,M/TI-13.21,2021,D0550BE5235A/004/R3,,,Data_Lab_SB_II__2026.xlsx
262,Router,Router,Mikrotik,M/TI-15.21,2021,D0550BBF5B3/004/R3,,,Data_Lab_SB_II__2026.xlsx
263,Router,Router,Mikrotik,M/TI-17.21,2021,D0550BE4FF7E/004/R3,,,Data_Lab_SB_II__2026.xlsx
264,Router,Router,Mikrotik,M/TI-18.21,2021,D0550B5FA921/004/R3,,,Data_Lab_SB_II__2026.xlsx
265,Router,Router,Mikrotik,M/TI-20.21,2021,D0550B9DF824/004/R3,,,Data_Lab_SB_II__2026.xlsx
  ▌ SERVER & UPS,,,,,,,,,
266,Server & UPS,Server DELLEMIC,DELL,Server 01,,,Baik,Lemari Server SB II/6,Data_Lab_SB_II__2026.xlsx
267,Server & UPS,Server DELLEMIC,DELL,Server 02,,,Baik,Lemari Server SB II/6,Data_Lab_SB_II__2026.xlsx
268,Server & UPS,UPS,,38,,,Baik,Lemari Server SB II/6,Data_Lab_SB_II__2026.xlsx
269,Server & UPS,UPS,,28,,,Baik,Lemari Server SB II/6,Data_Lab_SB_II__2026.xlsx
  ▌ STOP KONTAK,,,,,,,,,
270,Stop Kontak,Stop Kontak,Lition,Binus/TKJ.01,2025,,Baik,,stop_kontak_binus_3_.xlsx
271,Stop Kontak,Stop Kontak,Lition,Binus/TKJ.02,2025,,Baik,,stop_kontak_binus_3_.xlsx
272,Stop Kontak,Stop Kontak,Samsung,Binus/TKJ.03,2025,,Baik,,stop_kontak_binus_3_.xlsx
273,Stop Kontak,Stop Kontak,Samsung,Binus/TKJ.04,2025,,Baik,,stop_kontak_binus_3_.xlsx
274,Stop Kontak,Stop Kontak,Samsung,Binus/TKJ.05,2025,,Baik,,stop_kontak_binus_3_.xlsx
275,Stop Kontak,Stop Kontak,Samsung,Binus/TKJ.06,2025,,Baik,,stop_kontak_binus_3_.xlsx
276,Stop Kontak,Stop Kontak,Samsung,Binus/TKJ.07,2025,,Baik,,stop_kontak_binus_3_.xlsx
277,Stop Kontak,Stop Kontak,,Binus/TKJ.08,2025,,Baik,,stop_kontak_binus_3_.xlsx
278,Stop Kontak,Stop Kontak,,Binus/TKJ.09,2025,,Baik,,stop_kontak_binus_3_.xlsx
279,Stop Kontak,Stop Kontak,,Binus/TKJ.10,2025,,Baik,,stop_kontak_binus_3_.xlsx
280,Stop Kontak,Stop Kontak,,5.SK/TI-01,2024,,Baik,,stop_kontak_binus_3_.xlsx
281,Stop Kontak,Stop Kontak,,5.SK/TI-02,2024,,Baik,,stop_kontak_binus_3_.xlsx
282,Stop Kontak,Stop Kontak,,5.SK/TI-03,2024,,Baik,,stop_kontak_binus_3_.xlsx
283,Stop Kontak,Stop Kontak,,5.SK/TI-04,2024,,Baik,,stop_kontak_binus_3_.xlsx
284,Stop Kontak,Stop Kontak,,5.SK/TI-05,2024,,Baik,,stop_kontak_binus_3_.xlsx
285,Stop Kontak,Stop Kontak,,5.SK/TI-06,2024,,Baik,,stop_kontak_binus_3_.xlsx
286,Stop Kontak,Stop Kontak,,5.SK/TI-07,2024,,Baik,,stop_kontak_binus_3_.xlsx
287,Stop Kontak,Stop Kontak,,TI/02,2024,,Baik,,stop_kontak_binus_3_.xlsx
288,Stop Kontak,Stop Kontak,,TI/07,2024,,Baik,,stop_kontak_binus_3_.xlsx
289,Stop Kontak,Stop Kontak,,TI/09,2024,,Baik,,stop_kontak_binus_3_.xlsx
290,Stop Kontak,Stop Kontak,,TI/10,2024,,Baik,,stop_kontak_binus_3_.xlsx
291,Stop Kontak,Stop Kontak,,TI/11,2024,,Baik,,stop_kontak_binus_3_.xlsx
292,Stop Kontak,Stop Kontak,,TI/24,2024,,Baik,,stop_kontak_binus_3_.xlsx
293,Stop Kontak,Stop Kontak,,TI/28,2024,,Baik,,stop_kontak_binus_3_.xlsx
294,Stop Kontak,Stop Kontak,,STK/TI-05,2024,,Baik,,stop_kontak_binus_3_.xlsx
295,Stop Kontak,Stop Kontak,,STK/TI-06,2024,,Baik,,stop_kontak_binus_3_.xlsx
296,Stop Kontak,Stop Kontak,,STK/TI-10,2024,,Baik,,stop_kontak_binus_3_.xlsx
297,Stop Kontak,Stop Kontak,,TI/02,2021,,Baik,,stop_kontak_binus_3_.xlsx
298,Stop Kontak,Stop Kontak,,TI/03,2021,,Baik,,stop_kontak_binus_3_.xlsx
299,Stop Kontak,Stop Kontak,,PKL/TI .04,2021,,Baik,,stop_kontak_binus_3_.xlsx
300,Stop Kontak,Stop Kontak,,PKL/TI .13,2021,,Baik,,stop_kontak_binus_3_.xlsx
301,Stop Kontak,Stop Kontak,,P/TI.01,2021,,Baik,,stop_kontak_binus_3_.xlsx
302,Stop Kontak,Stop Kontak,Lition,Binus/TKJ.01,2025,,Baik,,stop_kontak_binus_4_.xlsx
303,Stop Kontak,Stop Kontak,Lition,Binus/TKJ.02,2025,,Baik,,stop_kontak_binus_4_.xlsx
304,Stop Kontak,Stop Kontak,Samsung,Binus/TKJ.03,2025,,Baik,,stop_kontak_binus_4_.xlsx
305,Stop Kontak,Stop Kontak,Samsung,Binus/TKJ.04,2025,,Baik,,stop_kontak_binus_4_.xlsx
306,Stop Kontak,Stop Kontak,Samsung,Binus/TKJ.05,2025,,Baik,,stop_kontak_binus_4_.xlsx
307,Stop Kontak,Stop Kontak,Samsung,Binus/TKJ.06,2025,,Baik,,stop_kontak_binus_4_.xlsx
308,Stop Kontak,Stop Kontak,Samsung,Binus/TKJ.07,2025,,Baik,,stop_kontak_binus_4_.xlsx
309,Stop Kontak,Stop Kontak,,Binus/TKJ.08,2025,,Baik,,stop_kontak_binus_4_.xlsx
310,Stop Kontak,Stop Kontak,,Binus/TKJ.09,2025,,Baik,,stop_kontak_binus_4_.xlsx
311,Stop Kontak,Stop Kontak,Lition,Binus/TKJ.01,2025,,Baik,,stop_kontak_binus_5_.xlsx
312,Stop Kontak,Stop Kontak,Lition,Binus/TKJ.02,2025,,Baik,,stop_kontak_binus_5_.xlsx
313,Stop Kontak,Stop Kontak,Samsung,Binus/TKJ.03,2025,,Baik,,stop_kontak_binus_5_.xlsx
314,Stop Kontak,Stop Kontak,Samsung,Binus/TKJ.04,2025,,Baik,,stop_kontak_binus_5_.xlsx
315,Stop Kontak,Stop Kontak,Samsung,Binus/TKJ.05,2025,,Baik,,stop_kontak_binus_5_.xlsx
316,Stop Kontak,Stop Kontak,Samsung,Binus/TKJ.06,2025,,Baik,,stop_kontak_binus_5_.xlsx
317,Stop Kontak,Stop Kontak,Samsung,Binus/TKJ.07,2025,,Baik,,stop_kontak_binus_5_.xlsx
318,Stop Kontak,Stop Kontak,,Binus/TKJ.08,2025,,Baik,,stop_kontak_binus_5_.xlsx
319,Stop Kontak,Stop Kontak,,Binus/TKJ.09,2025,,Baik,,stop_kontak_binus_5_.xlsx
  ▌ SWITCH,,,,,,,,,
320,Switch,Cloud Mikrotik Switch,,ROUTER 1,,,LENGKAP,,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
321,Switch,Cloud Mikrotik Switch,,ROUTER 2,,,LENGKAP,,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
322,Switch,Cloud Mikrotik Switch,,ROUTER 3,,,LENGKAP,,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
323,Switch,Cloud Mikrotik Switch,,ROUTER 4,,,LENGKAP,,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
324,Switch,Cloud Mikrotik Switch,,ROUTER 5,,,LENGKAP,,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
325,Switch,Cloud Mikrotik Switch,,ROUTER 6,,,LENGKAP,,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
326,Switch,Switch HP,,SWH/TI-01.2016,2016,,LENGKAP,,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
327,Switch,Switch HP,,SWH/TI-01.2017,2017,,LENGKAP,,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
328,Switch,Cisco 2600 Series,,C.TI-06,,,LENGKAP,,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
329,Switch,Cisco 800 Series,,,,,LENGKAP (TIDAK ADA KODE ALAT),,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
330,Switch,Compex TP1016c,,,,,LENGKAP (TIDAK ADA KODE ALAT),,DATA_INVENTARIS_LEMARI_RUANGAN_JARKOM_SB_2_1_.xlsx
331,Switch,Switch,D-Link,SWD/TI-04.24,2024,DES-1016A,Baik,,Data_Lab_SB_II__2026.xlsx
332,Switch,Cloud Switch,Mikrotik,M.TI/01-19,2019,CRS125-246-15-2HND-IN,,,Data_Lab_SB_II__2026.xlsx
333,Switch,Cloud Switch,Mikrotik,M.TI/02-19,2019,CRS125-246-15-2HND-IN,,,Data_Lab_SB_II__2026.xlsx
334,Switch,Cloud Switch,Mikrotik,M.TI/03-19,2019,CRS125-246-15-2HND-IN,,,Data_Lab_SB_II__2026.xlsx
335,Switch,Switch,HP,SWH/TI-01.2016,2016,HP 2510-14 Switch,Baik,,Data_Lab_SB_II__2026.xlsx
336,Switch,Switch,HP,SWH/TI-02.2016,2016,HP 2510-14 Switch,Baik,,Data_Lab_SB_II__2026.xlsx
337,Switch,Switch,Ruckus,,,ICX 7150-24,Baik,,Data_Lab_SB_II__2026.xlsx
338,Switch,Switch,Ruckus,TI.G/R-01.23,2023,ICX 7250-24,Baik,,Data_Lab_SB_II__2026.xlsx
339,Switch,Switch,Ruckus,TI/S.R-01.23,2023,ICX 7150-24,Baik,,Data_Lab_SB_II__2026.xlsx
340,Switch,Switch,Ruckus,TI/S.R-02.23,2023,ICX 7150-24,Baik,,Data_Lab_SB_II__2026.xlsx
341,Switch,Switch,Ruckus,TI/S.R-03.23,2023,ICX 7150-24,Baik,,Data_Lab_SB_II__2026.xlsx
342,Switch,Switch,Ruckus,TI/S.R-04.23,2023,ICX 7150-24,Baik,,Data_Lab_SB_II__2026.xlsx
343,Switch,Switch,Ruckus,TI/S.R-05.23,2023,ICX 7150-24,Baik,,Data_Lab_SB_II__2026.xlsx
344,Switch,Switch,Ruckus,TI/S.R-06.23,2023,ICX 7150-24,Baik,,Data_Lab_SB_II__2026.xlsx
345,Switch,Switch,Ruckus,TI/S.R-07.23,2023,ICX 7150-24,Baik,,Data_Lab_SB_II__2026.xlsx
  ▌ TOOLKIT,,,,,,,,,
346,Toolkit,Toolkit,Lition,T.kit/TI-01.25,2025,,Baik,,Tolkit.xlsx
347,Toolkit,Toolkit,Lition,T.kit/TI-02.25,2025,,Baik,,Tolkit.xlsx
348,Toolkit,Toolkit,Samsung,T.kit/TI-03.25,2025,,Baik,,Tolkit.xlsx
349,Toolkit,Toolkit,Samsung,T.kit/TI-04.25,2025,,Baik,,Tolkit.xlsx
350,Toolkit,Toolkit,Samsung,T.kit/TI-05.25,2025,,Baik,,Tolkit.xlsx
351,Toolkit,Toolkit,Samsung,T.kit/TI-06.25,2025,,Baik,,Tolkit.xlsx
352,Toolkit,Toolkit,Samsung,T.kit/TI-07.25,2025,,Baik,,Tolkit.xlsx
353,Toolkit,Toolkit,,T.kit/TI-08.25,2025,,Baik,,Tolkit.xlsx
  ▌ TOOL SET,,,,,,,,,
354,Tool Set,Tool Set,Good,GT-001,2012,Tas (isi 12 alat),Baik,"Obeng+, Obeng-, Obeng Kunci, T-NOL, Soulder, Pinset, TangCucut, Tang Potong, Kikir, Penyangga Solder",ALAT__Autosaved__br_2_.xlsx
355,Tool Set,Tool Set,Good,GT-002,2012,Tas (isi 12 alat),Baik,"Obeng+, Obeng-, Obeng Kunci, T-NOL, Soulder, Pinset, TangCucut, Tang Potong, Kikir, Penyangga Solder",ALAT__Autosaved__br_2_.xlsx
356,Tool Set,Tool Set,Good,GT-003,2012,Tas (isi 12 alat),Baik,"Obeng+, Obeng-, Obeng Kunci, T-NOL, Soulder, Pinset, TangCucut, Tang Potong, Kikir, Penyangga Solder",ALAT__Autosaved__br_2_.xlsx
357,Tool Set,Tool Set,Good,GT-004,2012,Tas (isi 12 alat),Baik,"Obeng+, Obeng-, Obeng Kunci, T-NOL, Soulder, Pinset, TangCucut, Tang Potong, Kikir, Penyangga Solder",ALAT__Autosaved__br_2_.xlsx
358,Tool Set,Tool Set,Good,GT-005,2012,Tas (isi 12 alat),Baik,"Obeng+, Obeng-, Obeng Kunci, T-NOL, Soulder, Pinset, TangCucut, Tang Potong, Kikir, Penyangga Solder",ALAT__Autosaved__br_2_.xlsx
359,Tool Set,Tool Set,Good,GT-006,2012,Tas (isi 12 alat),Baik,"Obeng+, Obeng-, Obeng Kunci, T-NOL, Soulder, Pinset, TangCucut, Tang Potong, Kikir, Penyangga Solder",ALAT__Autosaved__br_2_.xlsx
360,Tool Set,Tool Set,Good,GT-007,2012,Tas (isi 12 alat),Baik,"Obeng+, Obeng-, Obeng Kunci, T-NOL, Soulder, Pinset, TangCucut, Tang Potong, Kikir, Penyangga Solder",ALAT__Autosaved__br_2_.xlsx
361,Tool Set,Tool Set,Good,GT-008,2012,Tas (isi 12 alat),Baik,"Obeng+, Obeng-, Obeng Kunci, T-NOL, Soulder, Pinset, TangCucut, Tang Potong, Kikir, Penyangga Solder",ALAT__Autosaved__br_2_.xlsx
362,Tool Set,Tool Set,Good,GT-009,2012,Tas (isi 12 alat),Baik,"Obeng+, Obeng-, Obeng Kunci, T-NOL, Soulder, Pinset, TangCucut, Tang Potong, Kikir, Penyangga Solder",ALAT__Autosaved__br_2_.xlsx
363,Tool Set,Tool Set,Good,GT-010,2012,Tas (isi 12 alat),Baik,"Obeng+, Obeng-, Obeng Kunci, T-NOL, Soulder, Pinset, TangCucut, Tang Potong, Kikir, Penyangga Solder",ALAT__Autosaved__br_2_.xlsx
